time,Y,X,Beta,Spread,Z_Score
2026-03-20 17:41:00,4572.26,69.167,30.509880041425415,-13.392999191453782,-0.7921518668525777
2026-03-20 17:42:00,4572.76,69.275,30.577283190400994,-15.977278002752428,-1.0779851714499467
2026-03-20 17:43:00,4571.88,69.271,30.655590764407883,-16.495719657017617,-1.1142797005669427
2026-03-20 17:44:00,4576.03,69.391,30.73493639786525,-15.789627011083212,-1.009137991054801
2026-03-20 17:45:00,4577.53,69.56,30.805465271588012,-19.284124847593375,-1.3837991200271649
2026-03-20 17:46:00,4572.31,69.395,30.88327776854122,-19.180926396941686,-1.3331153348745428
2026-03-20 17:47:00,4563.59,69.198,30.966319652703678,-21.548607171432195,-1.5544776934300162
2026-03-20 17:48:00,4573.1,69.534,31.068426811820913,-22.157396655495177,-1.5676518124396428
2026-03-20 17:49:00,4565.21,69.295,31.16075224025179,-22.341390395632516,-1.5344790749864252
2026-03-20 17:50:00,4568.82,69.38,31.261293537947182,-21.086337914995966,-1.3541591493364824
2026-03-20 17:51:00,4570.43,69.367,31.354167268935633,-18.801229146405603,-1.0769472860855405
2026-03-20 17:52:00,4568.65,69.391,31.434788277177113,-21.098264338505032,-1.2950577644730537
2026-03-20 17:53:00,4571.25,69.585,31.521786650847623,-24.35297161672861,-1.5930721217500379
2026-03-20 17:54:00,4554.76,69.014,31.61421578839332,-22.53371150991461,-1.3564905485107612
2026-03-20 17:55:00,4560.87,69.324,31.720298926449956,-25.913454959538285,-1.6529783521918695
2026-03-20 17:56:00,4558.83,69.249,31.831235892499496,-25.245093446786996,-1.5291830454768125
2026-03-20 17:57:00,4569.74,69.613,31.939347769248123,-25.637485452291003,-1.5172432467279768
2026-03-20 17:58:00,4564.53,69.432,32.0321706574574,-24.79741246669073,-1.3890606027481993
2026-03-20 17:59:00,4564.32,69.47,32.12936114098147,-25.955517365550804,-1.4583940234624961
2026-03-20 18:00:00,4567.94,69.693,32.227349158963186,-29.236149118739377,-1.714308430440854
2026-03-20 18:01:00,4575.28,69.784,32.326751902725825,-24.56305799189977,-1.2256852746814937
2026-03-20 18:02:00,4571.61,69.597,32.41076830493836,-21.93431524049538,-0.9515372617540172
2026-03-20 18:03:00,4569.3,69.514,32.498322504455984,-21.282489292262653,-0.8724279551747006
2026-03-20 18:04:00,4571.72,69.63,32.58218541148401,-22.381619137578127,-0.9606730929391287
2026-03-20 18:05:00,4569.76,69.663,32.66443771521738,-25.173071774496748,-1.2025668685512858
2026-03-20 18:06:00,4568.11,69.556,32.748925131717456,-23.06853583969496,-0.978646953167637
2026-03-20 18:07:00,4568.5,69.598,32.82888325886086,-23.808674507305113,-1.028754377914065
2026-03-20 18:08:00,4562.2,69.448,32.91424412623718,-24.907997898943904,-1.1098635202458478
2026-03-20 18:09:00,4564.34,69.516,33.00846911987081,-24.720272800012026,-1.0681853833450943
2026-03-20 18:10:00,4565.3,69.601,33.09940069542911,-26.29103819674947,-1.1901303036485986
2026-03-20 18:11:00,4569.08,69.76,33.18780172329356,-27.516636897358694,-1.2733016421621204
2026-03-20 18:12:00,4578.22,70.069,33.27465889752,-28.403628300804485,-1.3203244594685837
2026-03-20 18:13:00,4576.44,70.118,33.34811544449896,-31.612821895524576,-1.5671978085807068
2026-03-20 18:14:00,4576.0,70.187,33.426652700719195,-34.14504640370251,-1.7299024109539964
2026-03-20 18:15:00,4572.9,70.045,33.50749850980314,-32.270158582796284,-1.5071652788797107
2026-03-20 18:16:00,4562.64,69.795,33.5907193380132,-33.901323192055315,-1.5944376387527008
2026-03-20 18:17:00,4569.13,70.045,33.69307806515206,-35.537777107466354,-1.6721037092535231
2026-03-20 18:18:00,4567.09,69.947,33.78455452997534,-34.01609304880094,-1.4897768957688264
2026-03-20 18:19:00,4562.67,69.779,33.874190111041656,-32.495730634422216,-1.3218023326951691
2026-03-20 18:20:00,4559.1,69.658,33.96770921000848,-31.683747335366206,-1.2213235463975702
2026-03-20 18:21:00,4565.04,69.783,34.061056708506655,-29.718662842376034,-1.0333242097262028
2026-03-20 18:22:00,4564.8,69.83,34.144776537498736,-31.307535611634194,-1.140394725719767
2026-03-20 18:23:00,4573.24,70.18,34.228121766192544,-34.59568004650464,-1.3755620965722632
2026-03-20 18:24:00,4561.05,69.802,34.30534653179334,-33.59348328223405,-1.2583702854428014
2026-03-20 18:25:00,4544.21,69.489,34.39913429361751,-39.38195464631008,-1.6705580841820038
2026-03-20 18:26:00,4541.31,69.28,34.524842912249966,-34.67278850113598,-1.2547131621658179
2026-03-20 18:27:00,4549.19,69.442,34.64422311034828,-32.01299352841488,-1.0187924780734723
2026-03-20 18:28:00,4554.76,69.521,34.742632813224645,-28.865863200077,-0.753034941736437
2026-03-20 18:29:00,4562.95,69.658,34.82353321084122,-25.17487542930121,-0.4487432847187078
2026-03-20 18:30:00,4562.99,69.614,34.888380751180065,-23.38317796166666,-0.2992346823197347
2026-03-20 18:31:00,4568.37,69.732,34.95232003898135,-21.91301920810929,-0.1763277441873003
2026-03-20 18:32:00,4568.15,69.743,35.00639329028099,-22.33033453203643,-0.2088382402361627
2026-03-20 18:33:00,4574.64,70.028,35.0662941511402,-25.6311098262604,-0.47999351428533804
2026-03-20 18:34:00,4568.27,69.887,35.12094934792805,-26.87230736762467,-0.5772071206617942
2026-03-20 18:35:00,4564.11,69.65,35.18175798095327,-22.494688888585188,-0.20228833693652684
2026-03-20 18:36:00,4564.22,69.587,35.23804056161459,-19.972867418991882,0.014394478809088791
2026-03-20 18:37:00,4564.34,69.54,35.28870950756936,-18.018367410673818,0.1822380332334557
2026-03-20 18:38:00,4564.22,69.604,35.33240548910875,-20.24029539669118,-0.012472096091176764
2026-03-20 18:39:00,4561.2,69.549,35.3808126978051,-21.145698932230516,-0.09173263950716987
2026-03-20 18:40:00,4559.2,69.492,35.432873290810406,-20.944324131509347,-0.07298190482386444
